Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  4.500000e+03,   5.438537e+00,   1.770809e+02,   1.149199e+01,   3.442606e-03,   4.723809e+00,   1.161663e+01
  4.550000e+03,   5.442541e+00,   1.780524e+02,   1.156498e+01,   3.453473e-03,   4.739291e+00,   1.164220e+01
  4.600000e+03,   5.446494e+00,   1.790214e+02,   1.163802e+01,   3.464235e-03,   4.754680e+00,   1.166768e+01
  4.650000e+03,   5.450390e+00,   1.799875e+02,   1.171110e+01,   3.474895e-03,   4.769970e+00,   1.169304e+01
  4.700000e+03,   5.454286e+00,   1.809540e+02,   1.178422e+01,   3.485446e-03,   4.785238e+00,   1.171832e+01
  4.750000e+03,   5.458182e+00,   1.819208e+02,   1.185740e+01,   3.495888e-03,   4.800484e+00,   1.174351e+01
  4.800000e+03,   5.462079e+00,   1.828879e+02,   1.193063e+01,   3.506225e-03,   4.815709e+00,   1.176862e+01
  4.850000e+03,   5.465975e+00,   1.838552e+02,   1.200390e+01,   3.516458e-03,   4.830913e+00,   1.179363e+01
  4.900000e+03,   5.469871e+00,   1.848229e+02,   1.207721e+01,   3.526590e-03,   4.846095e+00,   1.181856e+01
  4.950000e+03,   5.473768e+00,   1.857908e+02,   1.215057e+01,   3.536622e-03,   4.861255e+00,   1.184340e+01
  5.000000e+03,   5.477665e+00,   1.867590e+02,   1.222398e+01,   3.546556e-03,   4.876394e+00,   1.186816e+01
  5.050000e+03,   5.481458e+00,   1.877217e+02,   1.229743e+01,   3.556415e-03,   4.891372e+00,   1.189281e+01
  5.100000e+03,   5.485252e+00,   1.886847e+02,   1.237092e+01,   3.566179e-03,   4.906329e+00,   1.191738e+01
  5.150000e+03,   5.489046e+00,   1.896480e+02,   1.244446e+01,   3.575851e-03,   4.921266e+00,   1.194187e+01
  5.200000e+03,   5.492839e+00,   1.906116e+02,   1.251804e+01,   3.585433e-03,   4.936182e+00,   1.196627e+01
  5.250000e+03,   5.496633e+00,   1.915754e+02,   1.259167e+01,   3.594926e-03,   4.951077e+00,   1.199060e+01
  5.300000e+03,   5.500427e+00,   1.925394e+02,   1.266534e+01,   3.604332e-03,   4.965952e+00,   1.201484e+01
  5.350000e+03,   5.504221e+00,   1.935037e+02,   1.273905e+01,   3.613652e-03,   4.980807e+00,   1.203900e+01
  5.400000e+03,   5.508015e+00,   1.944683e+02,   1.281281e+01,   3.622888e-03,   4.995642e+00,   1.206308e+01
  5.450000e+03,   5.511779e+00,   1.954315e+02,   1.288660e+01,   3.632047e-03,   5.010417e+00,   1.208708e+01
  5.500000e+03,   5.515475e+00,   1.963910e+02,   1.296044e+01,   3.641138e-03,   5.025078e+00,   1.211099e+01
  5.550000e+03,   5.519171e+00,   1.973507e+02,   1.303432e+01,   3.650149e-03,   5.039719e+00,   1.213482e+01
  5.600000e+03,   5.522866e+00,   1.983107e+02,   1.310823e+01,   3.659081e-03,   5.054341e+00,   1.215857e+01
  5.650000e+03,   5.526562e+00,   1.992709e+02,   1.318220e+01,   3.667937e-03,   5.068943e+00,   1.218224e+01
  5.700000e+03,   5.530258e+00,   2.002314e+02,   1.325620e+01,   3.676717e-03,   5.083526e+00,   1.220585e+01
  5.750000e+03,   5.533953e+00,   2.011921e+02,   1.333024e+01,   3.685422e-03,   5.098090e+00,   1.222937e+01
  5.800000e+03,   5.537648e+00,   2.021530e+02,   1.340432e+01,   3.694054e-03,   5.112634e+00,   1.225282e+01
  5.850000e+03,   5.541344e+00,   2.031141e+02,   1.347844e+01,   3.702614e-03,   5.127159e+00,   1.227620e+01
  5.900000e+03,   5.545005e+00,   2.040735e+02,   1.355260e+01,   3.711109e-03,   5.141619e+00,   1.229950e+01
  5.950000e+03,   5.548606e+00,   2.050297e+02,   1.362680e+01,   3.719546e-03,   5.155978e+00,   1.232272e+01
  6.000000e+03,   5.552208e+00,   2.059861e+02,   1.370104e+01,   3.727914e-03,   5.170320e+00,   1.234586e+01
  6.050000e+03,   5.555810e+00,   2.069427e+02,   1.377531e+01,   3.736215e-03,   5.184642e+00,   1.236893e+01
  6.100000e+03,   5.559411e+00,   2.078995e+02,   1.384963e+01,   3.744449e-03,   5.198946e+00,   1.239193e+01
  6.150000e+03,   5.563012e+00,   2.088566e+02,   1.392398e+01,   3.752617e-03,   5.213232e+00,   1.241486e+01
  6.200000e+03,   5.566614e+00,   2.098138e+02,   1.399837e+01,   3.760721e-03,   5.227499e+00,   1.243772e+01
  6.250000e+03,   5.570214e+00,   2.107713e+02,   1.407280e+01,   3.768762e-03,   5.241748e+00,   1.246052e+01
  6.300000e+03,   5.573815e+00,   2.117289e+02,   1.414726e+01,   3.776739e-03,   5.255979e+00,   1.248324e+01
  6.350000e+03,   5.577398e+00,   2.126857e+02,   1.422176e+01,   3.784659e-03,   5.270167e+00,   1.250589e+01
  6.400000e+03,   5.580909e+00,   2.136385e+02,   1.429630e+01,   3.792531e-03,   5.284240e+00,   1.252846e+01
  6.450000e+03,   5.584421e+00,   2.145915e+02,   1.437087e+01,   3.800343e-03,   5.298295e+00,   1.255097e+01
  6.500000e+03,   5.587932e+00,   2.155447e+02,   1.444548e+01,   3.808097e-03,   5.312333e+00,   1.257341e+01
  6.550000e+03,   5.591443e+00,   2.164981e+02,   1.452012e+01,   3.815792e-03,   5.326353e+00,   1.259578e+01
  6.600000e+03,   5.594954e+00,   2.174517e+02,   1.459480e+01,   3.823430e-03,   5.340355e+00,   1.261809e+01
  6.650000e+03,   5.598464e+00,   2.184054e+02,   1.466951e+01,   3.831012e-03,   5.354340e+00,   1.264033e+01
  6.700000e+03,   5.601974e+00,   2.193594e+02,   1.474426e+01,   3.838537e-03,   5.368308e+00,   1.266250e+01
  6.750000e+03,   5.605484e+00,   2.203135e+02,   1.481905e+01,   3.846008e-03,   5.382258e+00,   1.268462e+01
  6.800000e+03,   5.608993e+00,   2.212677e+02,   1.489387e+01,   3.853425e-03,   5.396191e+00,   1.270667e+01
  6.850000e+03,   5.612435e+00,   2.222182e+02,   1.496872e+01,   3.860801e-03,   5.410014e+00,   1.272864e+01
  6.900000e+03,   5.615860e+00,   2.231678e+02,   1.504360e+01,   3.868128e-03,   5.423796e+00,   1.275055e+01
  6.950000e+03,   5.619284e+00,   2.241175e+02,   1.511852e+01,   3.875403e-03,   5.437562e+00,   1.277240e+01
  7.000000e+03,   5.622708e+00,   2.250674e+02,   1.519347e+01,   3.882626e-03,   5.451311e+00,   1.279418e+01
  7.050000e+03,   5.626132e+00,   2.260175e+02,   1.526846e+01,   3.889799e-03,   5.465043e+00,   1.281591e+01
  7.100000e+03,   5.629555e+00,   2.269678e+02,   1.534348e+01,   3.896922e-03,   5.478759e+00,   1.283757e+01
  7.150000e+03,   5.632978e+00,   2.279182e+02,   1.541853e+01,   3.903996e-03,   5.492458e+00,   1.285917e+01
  7.200000e+03,   5.636401e+00,   2.288687e+02,   1.549362e+01,   3.911021e-03,   5.506140e+00,   1.288072e+01
  7.250000e+03,   5.639823e+00,   2.298194e+02,   1.556873e+01,   3.917998e-03,   5.519806e+00,   1.290220e+01
  7.300000e+03,   5.643233e+00,   2.307695e+02,   1.564388e+01,   3.924930e-03,   5.533438e+00,   1.292362e+01
  7.350000e+03,   5.646574e+00,   2.317157e+02,   1.571906e+01,   3.931829e-03,   5.546960e+00,   1.294497e+01
  7.400000e+03,   5.649915e+00,   2.326620e+02,   1.579427e+01,   3.938681e-03,   5.560467e+00,   1.296627e+01
