Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  4.650000e+03,   5.423609e+00,   1.517648e+02,   9.935603e+00,   3.802575e-03,   4.364335e+00,   1.077590e+01
  4.700000e+03,   5.429027e+00,   1.528295e+02,   1.001653e+01,   3.813880e-03,   4.382827e+00,   1.080572e+01
  4.750000e+03,   5.434445e+00,   1.538942e+02,   1.009747e+01,   3.825065e-03,   4.401278e+00,   1.083538e+01
  4.800000e+03,   5.439860e+00,   1.549587e+02,   1.017843e+01,   3.836133e-03,   4.419687e+00,   1.086489e+01
  4.850000e+03,   5.445256e+00,   1.560223e+02,   1.025941e+01,   3.847088e-03,   4.438032e+00,   1.089424e+01
  4.900000e+03,   5.450510e+00,   1.570791e+02,   1.034035e+01,   3.857949e-03,   4.456158e+00,   1.092342e+01
  4.950000e+03,   5.455762e+00,   1.581359e+02,   1.042131e+01,   3.868701e-03,   4.474244e+00,   1.095245e+01
  5.000000e+03,   5.461013e+00,   1.591926e+02,   1.050229e+01,   3.879344e-03,   4.492293e+00,   1.098135e+01
  5.050000e+03,   5.466263e+00,   1.602493e+02,   1.058330e+01,   3.889882e-03,   4.510303e+00,   1.101010e+01
  5.100000e+03,   5.471512e+00,   1.613060e+02,   1.066433e+01,   3.900316e-03,   4.528276e+00,   1.103871e+01
  5.150000e+03,   5.476759e+00,   1.623627e+02,   1.074539e+01,   3.910648e-03,   4.546212e+00,   1.106719e+01
  5.200000e+03,   5.481882e+00,   1.634133e+02,   1.082642e+01,   3.920898e-03,   4.563952e+00,   1.109550e+01
  5.250000e+03,   5.486977e+00,   1.644626e+02,   1.090746e+01,   3.931053e-03,   4.581623e+00,   1.112368e+01
  5.300000e+03,   5.492071e+00,   1.655119e+02,   1.098853e+01,   3.941113e-03,   4.599260e+00,   1.115173e+01
  5.350000e+03,   5.497165e+00,   1.665613e+02,   1.106963e+01,   3.951079e-03,   4.616861e+00,   1.117965e+01
  5.400000e+03,   5.502257e+00,   1.676107e+02,   1.115075e+01,   3.960952e-03,   4.634428e+00,   1.120744e+01
  5.450000e+03,   5.507349e+00,   1.686602e+02,   1.123191e+01,   3.970735e-03,   4.651961e+00,   1.123511e+01
  5.500000e+03,   5.512390e+00,   1.697072e+02,   1.131306e+01,   3.980436e-03,   4.669397e+00,   1.126264e+01
  5.550000e+03,   5.517338e+00,   1.707496e+02,   1.139420e+01,   3.990062e-03,   4.686680e+00,   1.129003e+01
  5.600000e+03,   5.522285e+00,   1.717921e+02,   1.147538e+01,   3.999603e-03,   4.703930e+00,   1.131731e+01
  5.650000e+03,   5.527231e+00,   1.728346e+02,   1.155657e+01,   4.009059e-03,   4.721148e+00,   1.134446e+01
  5.700000e+03,   5.532177e+00,   1.738771e+02,   1.163780e+01,   4.018433e-03,   4.738335e+00,   1.137149e+01
  5.750000e+03,   5.537121e+00,   1.749198e+02,   1.171906e+01,   4.027725e-03,   4.755489e+00,   1.139842e+01
  5.800000e+03,   5.542065e+00,   1.759625e+02,   1.180034e+01,   4.036937e-03,   4.772612e+00,   1.142522e+01
  5.850000e+03,   5.546917e+00,   1.770006e+02,   1.188161e+01,   4.046083e-03,   4.789587e+00,   1.145189e+01
  5.900000e+03,   5.551725e+00,   1.780364e+02,   1.196289e+01,   4.055158e-03,   4.806475e+00,   1.147845e+01
  5.950000e+03,   5.556531e+00,   1.790724e+02,   1.204419e+01,   4.064156e-03,   4.823332e+00,   1.150489e+01
  6.000000e+03,   5.561337e+00,   1.801084e+02,   1.212552e+01,   4.073080e-03,   4.840159e+00,   1.153122e+01
  6.050000e+03,   5.566142e+00,   1.811445e+02,   1.220688e+01,   4.081930e-03,   4.856956e+00,   1.155745e+01
  6.100000e+03,   5.570947e+00,   1.821807e+02,   1.228827e+01,   4.090708e-03,   4.873724e+00,   1.158356e+01
  6.150000e+03,   5.575750e+00,   1.832169e+02,   1.236969e+01,   4.099415e-03,   4.890462e+00,   1.160958e+01
  6.200000e+03,   5.580450e+00,   1.842478e+02,   1.245108e+01,   4.108065e-03,   4.907038e+00,   1.163546e+01
  6.250000e+03,   5.585124e+00,   1.852774e+02,   1.253249e+01,   4.116649e-03,   4.923553e+00,   1.166124e+01
  6.300000e+03,   5.589797e+00,   1.863071e+02,   1.261393e+01,   4.125166e-03,   4.940039e+00,   1.168692e+01
  6.350000e+03,   5.594470e+00,   1.873369e+02,   1.269539e+01,   4.133615e-03,   4.956497e+00,   1.171249e+01
  6.400000e+03,   5.599141e+00,   1.883667e+02,   1.277688e+01,   4.141999e-03,   4.972927e+00,   1.173797e+01
  6.450000e+03,   5.603812e+00,   1.893966e+02,   1.285839e+01,   4.150317e-03,   4.989329e+00,   1.176335e+01
  6.500000e+03,   5.608482e+00,   1.904265e+02,   1.293993e+01,   4.158571e-03,   5.005703e+00,   1.178862e+01
  6.550000e+03,   5.613061e+00,   1.914517e+02,   1.302145e+01,   4.166775e-03,   5.021933e+00,   1.181379e+01
  6.600000e+03,   5.617608e+00,   1.924752e+02,   1.310298e+01,   4.174920e-03,   5.038094e+00,   1.183884e+01
  6.650000e+03,   5.622154e+00,   1.934987e+02,   1.318454e+01,   4.183003e-03,   5.054228e+00,   1.186381e+01
  6.700000e+03,   5.626698e+00,   1.945224e+02,   1.326611e+01,   4.191027e-03,   5.070335e+00,   1.188868e+01
  6.750000e+03,   5.631242e+00,   1.955460e+02,   1.334772e+01,   4.198990e-03,   5.086416e+00,   1.191346e+01
  6.800000e+03,   5.635785e+00,   1.965697e+02,   1.342934e+01,   4.206895e-03,   5.102470e+00,   1.193814e+01
  6.850000e+03,   5.640327e+00,   1.975933e+02,   1.351099e+01,   4.214742e-03,   5.118498e+00,   1.196274e+01
  6.900000e+03,   5.644813e+00,   1.986141e+02,   1.359263e+01,   4.222539e-03,   5.134427e+00,   1.198723e+01
  6.950000e+03,   5.649238e+00,   1.996315e+02,   1.367427e+01,   4.230287e-03,   5.150251e+00,   1.201162e+01
  7.000000e+03,   5.653661e+00,   2.006490e+02,   1.375593e+01,   4.237980e-03,   5.166050e+00,   1.203592e+01
  7.050000e+03,   5.658084e+00,   2.016665e+02,   1.383761e+01,   4.245617e-03,   5.181823e+00,   1.206013e+01
  7.100000e+03,   5.662505e+00,   2.026840e+02,   1.391931e+01,   4.253200e-03,   5.197570e+00,   1.208426e+01
  7.150000e+03,   5.666925e+00,   2.037015e+02,   1.400103e+01,   4.260730e-03,   5.213292e+00,   1.210830e+01
  7.200000e+03,   5.671344e+00,   2.047190e+02,   1.408277e+01,   4.268207e-03,   5.228988e+00,   1.213225e+01
  7.250000e+03,   5.675761e+00,   2.057364e+02,   1.416452e+01,   4.275632e-03,   5.244658e+00,   1.215612e+01
  7.300000e+03,   5.680068e+00,   2.067478e+02,   1.424625e+01,   4.283020e-03,   5.260160e+00,   1.217988e+01
  7.350000e+03,   5.684374e+00,   2.077592e+02,   1.432799e+01,   4.290356e-03,   5.275637e+00,   1.220355e+01
  7.400000e+03,   5.688679e+00,   2.087706e+02,   1.440975e+01,   4.297643e-03,   5.291089e+00,   1.222715e+01
  7.450000e+03,   5.692983e+00,   2.097820e+02,   1.449153e+01,   4.304879e-03,   5.306517e+00,   1.225066e+01
  7.500000e+03,   5.697285e+00,   2.107933e+02,   1.457333e+01,   4.312067e-03,   5.321921e+00,   1.227409e+01
  7.550000e+03,   5.701586e+00,   2.118046e+02,   1.465514e+01,   4.319206e-03,   5.337300e+00,   1.229744e+01
  7.600000e+03,   5.705886e+00,   2.128159e+02,   1.473697e+01,   4.326298e-03,   5.352654e+00,   1.232071e+01
  7.650000e+03,   5.710149e+00,   2.138252e+02,   1.481879e+01,   4.333347e-03,   5.367938e+00,   1.234389e+01
  7.700000e+03,   5.714342e+00,   2.148305e+02,   1.490060e+01,   4.340358e-03,   5.383107e+00,   1.236698e+01
  7.750000e+03,   5.718534e+00,   2.158358e+02,   1.498243e+01,   4.347323e-03,   5.398252e+00,   1.238999e+01
  7.800000e+03,   5.722724e+00,   2.168410e+02,   1.506426e+01,   4.354242e-03,   5.413373e+00,   1.241293e+01
  7.850000e+03,   5.726913e+00,   2.178462e+02,   1.514612e+01,   4.361116e-03,   5.428471e+00,   1.243579e+01
  7.900000e+03,   5.731100e+00,   2.188513e+02,   1.522798e+01,   4.367946e-03,   5.443545e+00,   1.245857e+01
  7.950000e+03,   5.735286e+00,   2.198564e+02,   1.530986e+01,   4.374732e-03,   5.458596e+00,   1.248127e+01
  8.000000e+03,   5.739471e+00,   2.208614e+02,   1.539175e+01,   4.381474e-03,   5.473623e+00,   1.250391e+01
  8.050000e+03,   5.743609e+00,   2.218637e+02,   1.547363e+01,   4.388179e-03,   5.488567e+00,   1.252645e+01
  8.100000e+03,   5.747692e+00,   2.228629e+02,   1.555550e+01,   4.394848e-03,   5.503417e+00,   1.254891e+01
  8.150000e+03,   5.751773e+00,   2.238620e+02,   1.563738e+01,   4.401475e-03,   5.518243e+00,   1.257130e+01
  8.200000e+03,   5.755852e+00,   2.248610e+02,   1.571927e+01,   4.408061e-03,   5.533047e+00,   1.259362e+01
  8.250000e+03,   5.759931e+00,   2.258599e+02,   1.580117e+01,   4.414606e-03,   5.547829e+00,   1.261586e+01
  8.300000e+03,   5.764007e+00,   2.268588e+02,   1.588308e+01,   4.421109e-03,   5.562587e+00,   1.263804e+01
  8.350000e+03,   5.768083e+00,   2.278576e+02,   1.596500e+01,   4.427573e-03,   5.577323e+00,   1.266014e+01
  8.400000e+03,   5.772157e+00,   2.288563e+02,   1.604694e+01,   4.433997e-03,   5.592037e+00,   1.268217e+01
  8.450000e+03,   5.776195e+00,   2.298529e+02,   1.612886e+01,   4.440385e-03,   5.606682e+00,   1.270413e+01
  8.500000e+03,   5.780171e+00,   2.308458e+02,   1.621076e+01,   4.446743e-03,   5.621226e+00,   1.272600e+01
  8.550000e+03,   5.784145e+00,   2.318387e+02,   1.629268e+01,   4.453062e-03,   5.635747e+00,   1.274780e+01
  8.600000e+03,   5.788118e+00,   2.328315e+02,   1.637460e+01,   4.459343e-03,   5.650246e+00,   1.276954e+01
  8.650000e+03,   5.792090e+00,   2.338241e+02,   1.645653e+01,   4.465586e-03,   5.664724e+00,   1.279120e+01
  8.700000e+03,   5.796060e+00,   2.348167e+02,   1.653846e+01,   4.471792e-03,   5.679180e+00,   1.281281e+01
  8.750000e+03,   5.800028e+00,   2.358092e+02,   1.662041e+01,   4.477961e-03,   5.693614e+00,   1.283434e+01
  8.800000e+03,   5.803995e+00,   2.368016e+02,   1.670236e+01,   4.484093e-03,   5.708027e+00,   1.285581e+01
  8.850000e+03,   5.807956e+00,   2.377935e+02,   1.678432e+01,   4.490190e-03,   5.722412e+00,   1.287721e+01
  8.900000e+03,   5.811829e+00,   2.387803e+02,   1.686624e+01,   4.496262e-03,   5.736661e+00,   1.289853e+01
  8.950000e+03,   5.815701e+00,   2.397669e+02,   1.694816e+01,   4.502299e-03,   5.750889e+00,   1.291978e+01
  9.000000e+03,   5.819572e+00,   2.407535e+02,   1.703010e+01,   4.508300e-03,   5.765096e+00,   1.294097e+01
  9.050000e+03,   5.823440e+00,   2.417399e+02,   1.711203e+01,   4.514267e-03,   5.779283e+00,   1.296210e+01
  9.100000e+03,   5.827307e+00,   2.427262e+02,   1.719398e+01,   4.520199e-03,   5.793448e+00,   1.298316e+01
  9.150000e+03,   5.831173e+00,   2.437124e+02,   1.727593e+01,   4.526097e-03,   5.807593e+00,   1.300416e+01
  9.200000e+03,   5.835037e+00,   2.446984e+02,   1.735788e+01,   4.531962e-03,   5.821717e+00,   1.302510e+01
  9.250000e+03,   5.838899e+00,   2.456843e+02,   1.743984e+01,   4.537793e-03,   5.835820e+00,   1.304597e+01
  9.300000e+03,   5.842716e+00,   2.466674e+02,   1.752179e+01,   4.543597e-03,   5.849843e+00,   1.306678e+01
  9.350000e+03,   5.846489e+00,   2.476479e+02,   1.760371e+01,   4.549374e-03,   5.863790e+00,   1.308751e+01
  9.400000e+03,   5.850260e+00,   2.486282e+02,   1.768564e+01,   4.555118e-03,   5.877717e+00,   1.310818e+01
  9.450000e+03,   5.854030e+00,   2.496084e+02,   1.776758e+01,   4.560831e-03,   5.891624e+00,   1.312880e+01
  9.500000e+03,   5.857798e+00,   2.505884e+02,   1.784951e+01,   4.566511e-03,   5.905511e+00,   1.314935e+01
  9.550000e+03,   5.861564e+00,   2.515684e+02,   1.793146e+01,   4.572160e-03,   5.919378e+00,   1.316985e+01
  9.600000e+03,   5.865329e+00,   2.525481e+02,   1.801340e+01,   4.577778e-03,   5.933225e+00,   1.319029e+01
