Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  4.750000e+03,   5.336735e+00,   1.367631e+02,   8.986655e+00,   3.104564e-03,   4.093181e+00,   1.035401e+01
  4.800000e+03,   5.341030e+00,   1.375339e+02,   9.044041e+00,   3.112286e-03,   4.107223e+00,   1.037677e+01
  4.850000e+03,   5.345417e+00,   1.383192e+02,   9.102544e+00,   3.120066e-03,   4.121511e+00,   1.039984e+01
  4.900000e+03,   5.349769e+00,   1.391137e+02,   9.162178e+00,   3.127926e-03,   4.135892e+00,   1.042321e+01
  4.950000e+03,   5.354221e+00,   1.399252e+02,   9.223154e+00,   3.135870e-03,   4.150559e+00,   1.044697e+01
  5.000000e+03,   5.358791e+00,   1.407556e+02,   9.285600e+00,   3.143910e-03,   4.165548e+00,   1.047115e+01
  5.050000e+03,   5.363488e+00,   1.416065e+02,   9.349640e+00,   3.152059e-03,   4.180888e+00,   1.049580e+01
  5.100000e+03,   5.368323e+00,   1.424796e+02,   9.415405e+00,   3.160331e-03,   4.196609e+00,   1.052095e+01
  5.150000e+03,   5.373306e+00,   1.433766e+02,   9.483027e+00,   3.168740e-03,   4.212739e+00,   1.054665e+01
  5.200000e+03,   5.378447e+00,   1.442993e+02,   9.552643e+00,   3.177299e-03,   4.229309e+00,   1.057294e+01
  5.250000e+03,   5.383597e+00,   1.452417e+02,   9.624277e+00,   3.186033e-03,   4.246140e+00,   1.059980e+01
  5.300000e+03,   5.388915e+00,   1.462129e+02,   9.698176e+00,   3.194945e-03,   4.263456e+00,   1.062734e+01
  5.350000e+03,   5.394419e+00,   1.472150e+02,   9.774490e+00,   3.204047e-03,   4.281298e+00,   1.065558e+01
  5.400000e+03,   5.400119e+00,   1.482498e+02,   9.853361e+00,   3.213351e-03,   4.299694e+00,   1.068458e+01
  5.450000e+03,   5.406027e+00,   1.493193e+02,   9.934934e+00,   3.222870e-03,   4.318675e+00,   1.071436e+01
  5.500000e+03,   5.412137e+00,   1.504245e+02,   1.001934e+01,   3.232618e-03,   4.338250e+00,   1.074496e+01
  5.550000e+03,   5.418297e+00,   1.515592e+02,   1.010663e+01,   3.242621e-03,   4.358237e+00,   1.077637e+01
  5.600000e+03,   5.424691e+00,   1.527339e+02,   1.019704e+01,   3.252875e-03,   4.378888e+00,   1.080867e+01
  5.650000e+03,   5.431327e+00,   1.539503e+02,   1.029074e+01,   3.263391e-03,   4.400233e+00,   1.084190e+01
  5.700000e+03,   5.438216e+00,   1.552102e+02,   1.038785e+01,   3.274181e-03,   4.422296e+00,   1.087610e+01
