Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  6.800000e+03,   6.047248e+00,   2.933832e+02,   2.152298e+01,   4.376225e-03,   6.526685e+00,   1.396004e+01
  6.850000e+03,   6.052372e+00,   2.945939e+02,   2.163159e+01,   4.386081e-03,   6.543291e+00,   1.398207e+01
  6.900000e+03,   6.057486e+00,   2.958041e+02,   2.174017e+01,   4.395864e-03,   6.559863e+00,   1.400404e+01
  6.950000e+03,   6.062588e+00,   2.970138e+02,   2.184871e+01,   4.405577e-03,   6.576400e+00,   1.402595e+01
  7.000000e+03,   6.067681e+00,   2.982229e+02,   2.195723e+01,   4.415220e-03,   6.592905e+00,   1.404780e+01
  7.050000e+03,   6.072746e+00,   2.994304e+02,   2.206567e+01,   4.424798e-03,   6.609352e+00,   1.406957e+01
  7.100000e+03,   6.077723e+00,   3.006322e+02,   2.217381e+01,   4.434325e-03,   6.625664e+00,   1.409127e+01
  7.150000e+03,   6.082690e+00,   3.018336e+02,   2.228192e+01,   4.443784e-03,   6.641942e+00,   1.411291e+01
  7.200000e+03,   6.087648e+00,   3.030344e+02,   2.239001e+01,   4.453178e-03,   6.658189e+00,   1.413448e+01
  7.250000e+03,   6.092595e+00,   3.042347e+02,   2.249807e+01,   4.462506e-03,   6.674403e+00,   1.415599e+01
  7.300000e+03,   6.097532e+00,   3.054345e+02,   2.260611e+01,   4.471770e-03,   6.690585e+00,   1.417745e+01
  7.350000e+03,   6.102459e+00,   3.066338e+02,   2.271411e+01,   4.480969e-03,   6.706735e+00,   1.419884e+01
  7.400000e+03,   6.107331e+00,   3.078295e+02,   2.282193e+01,   4.490117e-03,   6.722792e+00,   1.422016e+01
  7.450000e+03,   6.112149e+00,   3.090218e+02,   2.292958e+01,   4.499212e-03,   6.738759e+00,   1.424142e+01
  7.500000e+03,   6.116957e+00,   3.102137e+02,   2.303720e+01,   4.508246e-03,   6.754695e+00,   1.426261e+01
  7.550000e+03,   6.121756e+00,   3.114050e+02,   2.314480e+01,   4.517219e-03,   6.770601e+00,   1.428375e+01
  7.600000e+03,   6.126546e+00,   3.125959e+02,   2.325236e+01,   4.526133e-03,   6.786476e+00,   1.430484e+01
  7.650000e+03,   6.131325e+00,   3.137862e+02,   2.335991e+01,   4.534988e-03,   6.802321e+00,   1.432586e+01
  7.700000e+03,   6.136096e+00,   3.149761e+02,   2.346742e+01,   4.543784e-03,   6.818135e+00,   1.434683e+01
  7.750000e+03,   6.140803e+00,   3.161619e+02,   2.357473e+01,   4.552535e-03,   6.833848e+00,   1.436773e+01
  7.800000e+03,   6.145470e+00,   3.173451e+02,   2.368190e+01,   4.561237e-03,   6.849489e+00,   1.438857e+01
  7.850000e+03,   6.150127e+00,   3.185279e+02,   2.378905e+01,   4.569882e-03,   6.865101e+00,   1.440936e+01
  7.900000e+03,   6.154775e+00,   3.197102e+02,   2.389618e+01,   4.578472e-03,   6.880683e+00,   1.443009e+01
  7.950000e+03,   6.159414e+00,   3.208920e+02,   2.400327e+01,   4.587007e-03,   6.896236e+00,   1.445076e+01
  8.000000e+03,   6.164045e+00,   3.220734e+02,   2.411035e+01,   4.595488e-03,   6.911761e+00,   1.447138e+01
