P (GPa), T (K), S (J/K/kg),rho(kg/m^3), gamma, Cv/NKb, us(km/s), up(km/s) 
30.1348726328,350.578256936,2785.95683468,3450.60299847,0.701604668705,0.0,6.42080318168,1.22602168474
30.513339323,358.457362429,2778.22305314,3459.68493179,0.705292408774,0.0,6.43787347314,1.23769808173
30.8911777035,366.404723007,2770.80045485,3468.76686511,0.709010058507,0.0,6.45494414022,1.24937447873
31.2732987178,374.107068199,2761.94693978,3477.84879843,0.712716975775,0.0,6.47201517544,1.26105087573
31.6568351521,381.44336341,2755.6848766,3486.93073175,0.716510204318,0.0,6.48908657131,1.27272727273
32.0383463583,388.704053665,2748.64201693,3496.01266507,0.720326582964,0.0,6.50615832032,1.28440366972
32.4245584426,397.430467915,2741.07371511,3505.09459839,0.724119273799,0.0,6.523230415,1.29608006672
32.8091705679,406.283987876,2733.71000072,3514.17653171,0.727813826245,0.0,6.54030284784,1.30775646372
33.1953112622,414.527513389,2723.59355052,3523.25846502,0.731622589436,0.0,6.55737561136,1.31943286072
33.5827685961,423.098125529,2717.16991254,3532.34039834,0.735380557018,0.0,6.57444869806,1.33110925771
33.9743610774,430.898259957,2711.46523601,3541.42233166,0.73925907003,0.0,6.59152210045,1.34278565471
34.3686711414,439.564110892,2704.48115086,3550.50426498,0.743154075423,0.0,6.60859581105,1.35446205171
34.7619931111,448.338053757,2696.73484044,3559.5861983,0.747084783487,0.0,6.62566982234,1.36613844871
35.1577468927,456.4695594,2690.69240617,3568.66813162,0.750992095571,0.0,6.64274412686,1.3778148457
35.5554744974,465.085949442,2680.47550902,3577.75006494,0.754994678569,0.0,6.6598187171,1.3894912427
35.9548966561,473.806709448,2669.19455452,3586.83199826,0.758958734886,0.0,6.67689358556,1.4011676397
36.3583183457,481.747936083,2661.12521438,3595.91393157,0.762910132163,0.0,6.69396872477,1.4128440367
36.7587064696,489.769209696,2654.36928963,3604.99586489,0.766905058476,0.0,6.71104412723,1.42452043369
37.1630762089,498.513455253,2647.32487356,3614.07779821,0.770942986727,0.0,6.72811978544,1.43619683069
37.5684660282,506.834325097,2639.69554376,3623.15973153,0.775020524252,0.0,6.74519569191,1.44787322769
37.9782941371,515.730673497,2634.27456477,3632.24166485,0.77911757301,0.0,6.76227183915,1.45954962469
38.3879213712,524.386781724,2626.33707582,3641.32359817,0.783180849913,0.0,6.77934821967,1.47122602168
38.7996282604,533.466503781,2621.23564342,3650.40553149,0.787244431195,0.0,6.79642482598,1.48290241868
39.2136763514,542.782749201,2613.56708303,3659.48746481,0.791371871326,0.0,6.81350165059,1.49457881568
39.6283737956,551.853765716,2607.19291754,3668.56939813,0.795525599275,0.0,6.830578686,1.50625521268
40.0454770502,560.739643045,2602.28012953,3677.65133144,0.799697067994,0.0,6.84765592471,1.51793160967
40.4639417086,569.665374606,2595.80253516,3686.73326476,0.803907944274,0.0,6.86473335925,1.52960800667
40.8859651727,578.172742396,2584.92269941,3695.81519808,0.808137743906,0.0,6.88181098211,1.54128440367
41.3070050531,587.507257419,2579.38760263,3704.8971314,0.812377418294,0.0,6.89888878581,1.55296080067
41.7299889768,596.7104082,2570.59270517,3713.97906472,0.816572729043,0.0,6.91596676285,1.56463719766
42.1544545888,606.139728282,2564.22824238,3723.06099804,0.820819768727,0.0,6.93304490575,1.57631359466
42.5769948107,614.907252767,2556.01909035,3732.14293136,0.825029683675,0.0,6.950123207,1.58798999166
43.0055325173,624.436677994,2547.86186018,3741.22486468,0.829300586036,0.0,6.96720165912,1.59966638866
43.435825062,633.417841762,2539.91872329,3750.30679799,0.833564000095,0.0,6.98428025461,1.61134278565
43.8642498082,643.292551142,2529.36114022,3759.38873131,0.837883572492,0.0,7.00135898598,1.62301918265
44.2983119986,651.952267787,2524.23419152,3768.47066463,0.8422221506,0.0,7.01843784575,1.63469557965
44.7327487087,661.117164244,2520.83952053,3777.55259795,0.846579388904,0.0,7.03551682641,1.64637197665
45.1687317793,670.436985948,2512.80294566,3786.63453127,0.850954924701,0.0,7.05259592048,1.65804837364
45.6100109732,679.378378725,2504.55425891,3795.71646459,0.855374649639,0.0,7.06967512047,1.66972477064
