ANEOS	UNITE																										
	TWO-PHASE	BOUN	ARIES																								
	T	RHOLIQ	RHOVAP	PLIQ	PVAP	ELIQ	EVAP	SLIQ	SVAP	GLIQ	GVAP	PSILIQ	PSIVAP	NTY										lvdT			
	K	kg/m**3	kg/m**3	GPa	GPa	J/kg	J/kg	J/kg-K	J/kg-K	J/kg	J/kg																
																											
	3.11115	3	3.10332	3	3.24326	-2	2.5372	-5	2.5372	-5	3.36492	6	1.68393	7	3.74079	3	8.32349	3	-8.27253	6	-8.27253	6	8.84168	-2	2.04478	7	5
	3.05585	3	3.10835	3	2.36798	-2	1.82447	-5	1.82447	-5	3.30129	6	1.68264	7	3.72015	3	8.39851	3	-8.06625	6	-8.06625	6	8.6763	-2	3.39066	7	7
	3.00055	3	3.11334	3	1.70859	-2	1.29607	-5	1.29607	-5	3.23776	6	1.68146	7	3.69917	3	8.47704	3	-7.86112	6	-7.86112	6	8.51135	-2	5.73187	7	7
	2.94525	3	3.11828	3	1.21744	-2	9.08918	-6	9.08917	-6	3.17431	6	1.68041	7	3.67782	3	8.55932	3	-7.65716	6	-7.65716	6	8.34679	-2	9.89008	7	7
	2.88995	3	3.12318	3	8.55984	-3	6.28766	-6	6.28765	-6	3.11094	6	1.67951	7	3.6561	3	8.64565	3	-7.45439	6	-7.45439	6	8.18262	-2	1.74399	8	7
	2.83465	3	3.12805	3	5.93382	-3	4.28713	-6	4.28713	-6	3.04765	6	1.67877	7	3.63399	3	8.73634	3	-7.25283	6	-7.25284	6	8.01882	-2	3.14715	8	7
	2.77935	3	3.13287	3	4.05197	-3	2.87855	-6	2.87855	-6	2.98444	6	1.67822	7	3.61147	3	8.83174	3	-7.05251	6	-7.05251	6	7.85537	-2	5.82042	8	6
	2.72405	3	3.13766	3	2.72298	-3	1.90151	-6	1.90151	-6	2.92129	6	1.67787	7	3.58852	3	8.93223	3	-6.85344	6	-6.85344	6	7.69225	-2	1.10493	9	8
	2.66875	3	3.14241	3	1.79895	-3	1.23451	-6	1.23451	-6	2.85821	6	1.67775	7	3.56512	3	9.03822	3	-6.65566	6	-6.65566	6	7.52945	-2	2.1567	9	8
	2.61345	3	3.14712	3	1.1671	-3	7.86825	-7	7.86825	-7	2.79519	6	1.67788	7	3.54126	3	9.15015	3	-6.45918	6	-6.45918	6	7.36695	-2	4.33624	9	6
	2.55815	3	3.1518	3	7.41979	-4	4.91496	-7	4.91496	-7	2.73222	6	1.67841	7	3.5169	3	9.26917	3	-6.26403	6	-6.26403	6	7.20473	-2	1.00000+100	10	
	2.50285	3	3.15644	3	4.62582	-4	3.00834	-7	3.00834	-7	2.66931	6	1.67909	7	3.49204	3	9.39441	3	-6.07025	6	-6.07025	6	7.04276	-2	1.00000+100	10	
	2.44755	3	3.16105	3	2.82072	-4	1.80053	-7	1.80053	-7	2.60645	6	1.68011	7	3.46664	3	9.5273	3	-5.87785	6	-5.87785	6	6.88105	-2	1.00000+100	9	
	2.39226	3	3.16563	3	1.67971	-4	1.05214	-7	1.05214	-7	2.54363	6	1.6815	7	3.44068	3	9.66854	3	-5.68687	6	-5.68687	6	6.71956	-2	1.00000+100	11	
	2.33696	3	3.17017	3	9.75169	-5	5.99257	-8	5.99257	-8	2.48085	6	1.68331	7	3.41413	3	9.81887	3	-5.49735	6	-5.49735	6	6.55827	-2	1.00000+100	10	
	2.28166	3	3.17469	3	5.50927	-5	3.32058	-8	3.32058	-8	2.41811	6	1.68556	7	3.38696	3	9.97915	3	-5.30931	6	-5.30931	6	6.39718	-2	1.00000+100	10	
	2.22636	3	3.17917	3	3.02269	-5	1.78647	-8	1.78647	-8	2.35541	6	1.68832	7	3.35913	3	1.01504	4	-5.12279	6	-5.12279	6	6.23626	-2	1.00000+100	9	
	2.17106	3	3.18362	3	1.60696	-5	9.31078	-9	9.31077	-9	2.29274	6	1.69162	7	3.33063	3	1.03336	4	-4.93783	6	-4.93783	6	6.07548	-2	1.00000+100	10	
	2.09869	3	3.1894	3	6.67492	-6	3.76694	-9	3.76694	-9	2.21078	6	1.69687	7	3.29223	3	1.05935	4	-4.69819	6	-4.69819	6	5.86528	-2	1.00000+100	7	
	2.02632	3	3.19513	3	2.59954	-6	1.42835	-9	1.42834	-9	2.12886	6	1.70329	7	3.25251	3	1.08794	4	-4.46138	6	-4.46138	6	5.65526	-2	1.00000+100	9	
	1.95395	3	3.20081	3	9.42448	-7	5.03983	-10	5.0399	-10	2.04698	6	1.71108	7	3.21136	3	1.11949	4	-4.22749	6	-4.22749	6	5.44538	-2	1.00000+100	13	
	1.88158	3	3.20645	3	3.15471	-7	1.64132	-10	1.64134	-10	1.96515	6	1.72042	7	3.16868	3	1.15447	4	-3.99664	6	-3.99664	6	5.2356	-2	1.00000+100	15	
	1.80921	3	3.21204	3	9.6577	-8	4.88593	-11	4.88702	-11	1.88334	6	1.73154	7	3.12434	3	1.19343	4	-3.76893	6	-3.76893	6	5.02587	-2	1.00000+100	11	
	1.73685	3	3.21759	3	2.67421	-8	1.31606	-11	1.31573	-11	1.80157	6	1.74473	7	3.07821	3	1.23702	4	-3.5445		6	-3.5445		6	4.81616	-2	1.00000+100	13	
	1.66448	3	3.22309	3	6.6115	-9	3.15874	-12	3.16191	-12	1.71983	6	1.7603	7	3.03014	3	1.28605	4	-3.32347	6	-3.32347	6	4.60641	-2	1.00000+100	14	
	1.59211	3	3.22855	3	1.43735	-9	6.71625	-13	6.6801	-13	1.63812	6	1.77861	7	2.97994	3	1.3415	4	-3.106		6	-3.106		6	4.3966	-2	1.00000+100	14	
	1.51974	3	3.23398	3	2.69854	-10	1.19019	-13	1.21848	-13	1.55643	6	1.80007	7	2.92743	3	1.40456	4	-2.89225	6	-2.89225	6	4.18669	-2	1.00000+100	16	
	1.44737	3	3.23936	3	4.28168	-11	3.90291	-14	1.87784	-14	1.47476	6	1.82512	7	2.87237	3	1.4767	4	-2.68238	6	-2.68238	6	3.97664	-2	1.00000+100	16	
	1.375	3	3.24471	3	5.59377	-12	1.55687	-14	2.38215	-15	1.39312	6	1.85422	7	2.8145	3	1.5597	4	-2.4766	6	-2.4766	6	3.76643	-2	1.00000+100	16	
	1.30263	3	3.25002	3	5.82966	-13	-1.297	-14	2.40948	-16	1.3115	6	1.88781	7	2.75352	3	1.65571	4	-2.27512	6	-2.27512	6	3.55604	-2	1.00000+100	19	
	1.23027	3	3.2553	3	4.66134	-14	-6.12736	-15	1.86845	-17	1.22991	6	1.92625	7	2.68907	3	1.76732	4	-2.07817	6	-2.07817	6	3.34544	-2	1.00000+100	20	
	1.1579	3	3.26054	3	2.72428	-15	1.00136	-15	1.05772	-18	1.14835	6	1.96965	7	2.62074	3	1.89758	4	-1.88602	6	-1.88602	6	3.13465	-2	1.00000+100	21	
	1.08553	3	3.26575	3	1.09468	-16	2.6226	-16	4.10823	-20	1.06683	6	2.01774	7	2.54804	3	2.04997	4	-1.69898	6	-1.69898	6	2.92367	-2	1.00000+100	22	
	1.01316	3	3.27092	3	2.79574	-18	6.80685	-15	1.01086	-21	9.85353	5	2.06963	7	2.47036	3	2.22833	4	-1.51737	6	-1.51737	6	2.71255	-2	1.00000+100	22	
	9.40792	2	3.27606	3	4.09506	-20	-2.11	-14	1.41935	-23	9.03934	5	2.12355	7	2.38698	3	2.43678	4	-1.34158	6	-1.34158	6	2.50135	-2	1.00000+100	22	
	8.68423	2	3.28117	3	2.99849	-22	4.47035	-15	9.88967	-26	8.22592	5	2.17669	7	2.297	3	2.67959	4	-1.17206	6	-1.17206	6	2.29018	-2	1.00000+100	25	
	7.96055	2	3.28625	3	9.09102	-25	5.29289	-15	2.82457	-28	7.4135	5	2.22543	7	2.19932	3	2.96157	4	-1.00933	6	-1.00933	6	2.07921	-2	1.00000+100	29	
	7.23686	2	3.2913	3	8.75145	-28	-8.69036	-15	2.52807	-31	6.60248	5	2.26593	7	2.0925	3	3.28921	4	-8.5398	5	-8.5398	5	1.86869	-2	1.00000+100	32	
	6.51317	2	3.29631	3	1.81818	-31	1.14441	-15	4.80601	-35	5.7934	5	2.29526	7	1.97471	3	3.67334	4	-7.06746	5	-7.06746	5	1.65895	-2	1.00000+100	35	
	5.78949	2	3.30129	3	4.55572	-36	-1.08838	-14	1.08175	-39	4.98712	5	2.31257	7	1.84348	3	4.13388	4	-5.68506	5	-5.68506	5	1.45051	-2	1.00000+100	34	
	5.0658	2	3.30622	3	5.50548	-42	1.02699	-14	1.15014	-45	4.18497	5	2.3195	7	1.69547	3	4.70717	4	-4.40345	5	-4.40345	5	1.24406	-2	1.00000+100	42	
	4.34212	2	3.31109	3	8.53401	-53	-1.02639	-14	7.66173	-57	3.38924	5	1.27286	7	1.52599	3	3.02682	4	-3.23639	5	-3.23639	5	1.04055	-2	1.00000+100	53	
	3.61843	2	3.31588	3	8.36106	-65	-2.23517	-15	6.25538	-69	2.6041	5	1.26887	7	1.32822	3	3.58853	4	-2.20171	5	-2.20576	5	8.41277	-3	1.00000+100	64	
	2.89474	2	3.32054	3	7.19844	-83	1.32024	-15	4.30845	-87	1.83795	5	1.265	7	1.09212	3	4.43672	4	-1.32328	5	-1.32533	5	6.47907	-3	1.00000+100	81	
	2.17106	2	3.32494	3	4.52328	-113	2.37525	-15	2.03047	-117	1.10983	5	1.26123	7	8.03177	2	5.85966	4	-6.33811	4	-6.37803	4	4.62519	-3	1.00000+100	105			
